url,path,top_segment,template,status,ttfb_ms,html_bytes,title,title_len,meta_desc,meta_desc_len,h1,h1_count,h2_count,h3_count,word_count,img_count,img_lazy,img_eager,fetchpriority_high,img_missing_alt,schema_types,has_product_schema,ldjson_blocks,booking_links,cta_bestil,cta_se_rejsen,cta_laes_mere,tel_links,mailto_links,form_count,has_price,price_min,price_count,has_fra_price,trustpilot,rejsegarantifonden,travelife,has_faq_schema,duration_days,canonical,robots_meta,og_image,h1_matches_title
https://smilrejser.dk/,/,,homepage,200,1258,2675292,Smilrejser - Grupperejser med dansktalende rejseleder | Opdag verden sammen,75,"Nyd håndplukkede kulturrejser, vandreture og storbyferie med dansktalende rejseledere. 35 års erfaring sikrer dig kvalitetsoplevelser og tryghed på alle vores rejsemål.",168,En verden af opdagelser,1,4,3,805,35,35,0,0,5,Organization|PostalAddress|PropertyValue|SearchAction|WebSite,0,5,0,0,0,2,2,0,0,1,7695,10,1,1,1,1,0,8,https://smilrejser.dk/,"index, follow",0,0
https://smilrejser.dk/italien/madlavningskursus-paa-amalfikysten,/italien/madlavningskursus-paa-amalfikysten,italien,trip,200,1524,594483,Lær at lave autentisk syditaliensk mad på Amalfikysten,54,"Fra citronlund til agriturismo – lav ragù, gnocchi og limoncello med passionerede lokale kokke. Book din madlavningsrejse til Amalfikysten.",139,"Madlavningskursus på Amalfikysten – citroner, urter og italienske klassikere",1,5,17,2443,27,27,0,0,5,AggregateOffer|BreadcrumbList|ListItem|Offer|Organization|Product|SearchAction|WebSite,1,9,0,0,0,2,2,0,1,0,,0,0,1,1,1,0,8,https://smilrejser.dk/italien/madlavningskursus-paa-amalfikysten,"index, follow",0,0
https://smilrejser.dk/england/haverejse-i-det-sydoestlige-england,/england/haverejse-i-det-sydoestlige-england,england,trip,200,3837,874306,Slotshaver og havekunst i historiske Sydengland,47,Oplev 8 af Englands mest berømte haver som Sissinghurst og Wisley. Rejs med dansk havehistoriker og få en uforglemmelig tur. Læs mere og se rejsen her.,151,Haverejse i det sydøstlige England,1,8,26,3880,73,73,0,0,14,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,1,11,1,0,0,7,2,0,1,1,12995,3,0,1,1,1,1,5,https://smilrejser.dk/england/haverejse-i-det-sydoestlige-england,"index, follow",0,0
https://smilrejser.dk/spanien/autentiske-catalonien-og-costa-brava,/spanien/autentiske-catalonien-og-costa-brava,spanien,trip,200,2812,887324,"Catalonien &amp; Costa Brava | Kultur, historie og middelhavsstrand",67,"Tag på 8 dages grupperejse til Cataloniens skjulte perler - besøg Girona, Figueres, Besalú og Empúries med dansktalende rejseleder.",131,Autentiske Catalonien &amp; Costa Brava,1,7,23,3034,55,55,0,0,19,AggregateOffer|BreadcrumbList|ListItem|Offer|Organization|Product|SearchAction|WebSite,1,9,4,0,0,2,2,0,1,1,10495,9,0,1,1,1,0,8,https://smilrejser.dk/spanien/autentiske-catalonien-og-costa-brava,"index, follow",0,0
https://smilrejser.dk/oestrig/kultur-i-alperne,/oestrig/kultur-i-alperne,oestrig,trip,200,1614,565332,Alperne med Lene Beier - Kultur og natur i Østrig på 6 dage,59,"Nyd tyrolsk idyl, guidede byvandringer i Innsbruck og Salzburg, besøg på Ørnereden og en nostalgisk togtur. Grupperejse med dansk rejseleder i Østrig.",150,Kultur i Alperne - hos Lene Beier,1,6,13,1759,29,29,0,0,5,AggregateOffer|BreadcrumbList|ListItem|Organization|Product|SearchAction|WebSite,1,9,0,0,0,2,2,0,1,0,,0,0,1,1,1,0,6,https://smilrejser.dk/oestrig/kultur-i-alperne,"index, follow",0,0
https://smilrejser.dk/portugal/jul-paa-madeira,/portugal/jul-paa-madeira,portugal,trip,200,1932,815981,"Juleferie på Madeira – oplev sol, varme og julemagi",51,"Nyd en varm juleuge med dansktalende rejseleder, All Inclusive og udsigt over Atlanterhavet. Oplev Funchals juleby, nordkysten, Cabo Girão og ponchasmagning.",157,Jul på Madeira,1,7,29,3708,71,71,0,0,24,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,1,11,1,0,0,3,2,0,1,1,13995,3,0,1,1,1,1,8,https://smilrejser.dk/portugal/jul-paa-madeira,"index, follow",0,0
https://smilrejser.dk/frankrig/paris-mon-amour-storbyliv-og-stemning-paa-seinen,/frankrig/paris-mon-amour-storbyliv-og-stemning-paa-seinen,frankrig,trip,200,2114,607810,"Paris, mon amour – oplev byen fra Seinen med guide",50,"Bo direkte på Seinen og oplev Paris med dansk rejseleder. Panoramisk rundtur, Montmartre og en festlig Titi Parisien-aften ombord venter.",137,"Paris, mon amour – storbyliv og stemning på Seinen",1,7,12,1924,38,38,0,0,15,AggregateOffer|BreadcrumbList|ListItem|Offer|Organization|Product|SearchAction|WebSite,1,9,1,0,0,2,2,0,1,1,7995,3,0,1,1,1,0,4,https://smilrejser.dk/frankrig/paris-mon-amour-storbyliv-og-stemning-paa-seinen,"index, follow",0,0
https://smilrejser.dk/egypten/cairo-og-nilkrydstogt,/egypten/cairo-og-nilkrydstogt,egypten,trip,200,2722,1021738,Nilkrydstogt og Cairo – 11 dage i det gamle Egypten,51,"3 nætter i Cairo og 7 nætter på Nilkrydstogt. Oplev pyramiderne, Kongernes Dal og Luxor-templet med erfaren dansktalende rejseleder. Book rejsen her.",149,Cairo og Nilkrydstogt i Egypten,1,7,37,5489,73,72,1,0,12,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,1,11,4,0,0,12,2,0,1,1,18999,9,0,1,1,1,1,11,https://smilrejser.dk/egypten/cairo-og-nilkrydstogt,"index, follow",0,0
https://smilrejser.dk/italien/amalfikysten-til-foraarspris,/italien/amalfikysten-til-foraarspris,italien,trip,200,1087,651697,Amalfikysten på din måde - grupperejse | Læs mere her,53,"Oplev Amalfikysten med base i Minori. Vælg selv dine udflugter til Capri, Ravello og Vesuv. 8 dage med dansk rejseleder. Direkte fly fra København.",147,Amalfikysten til forårspris,1,6,17,3832,38,38,0,0,5,AggregateOffer|BreadcrumbList|ListItem|Organization|Product|SearchAction|WebSite,1,9,0,0,0,2,2,0,1,0,,0,0,1,1,1,0,8,https://smilrejser.dk/italien/amalfikysten-til-foraarspris,"index, follow",0,0
https://smilrejser.dk/vietnam/det-bedste-af-vietnam,/vietnam/det-bedste-af-vietnam,vietnam,trip,200,2412,1213819,Oplev Vietnam på 16 dage – rundrejse fra nord til syd,53,"Fra Hanois travle gader og Halong Bay til Mekong-deltaet – oplev Vietnams natur, kultur og historie på en veltilrettelagt grupperejse med dansktalende guide.",157,Det bedste af Vietnam,1,7,21,3530,108,108,0,0,62,AggregateOffer|Answer|BreadcrumbList|FAQPage|ListItem|Offer|Organization|Product|Question|SearchAction|WebSite,1,11,1,0,0,1,2,0,1,1,24499,3,0,1,1,1,1,16,https://smilrejser.dk/vietnam/det-bedste-af-vietnam,"index, follow",0,0
